query;title;url;abstract;authors;date;downloads;score;journal
"""in vivo gene editing"" OR ""in vivo genome editing""";CRISPR delivery particles for developing therapeutic strategies in metabolic disease;https://www.biorxiv.org/content/10.1101/352799v1;RNA-guided engineered nucleases derived from a prokaryotic adaptive immune system known as CRISPR-Cas represent a promising platform for gene deletion and editing.  As a therapeutic approach, direct delivery of Cas9 protein and guide RNA could circumvent the safety problems associated with plasmid delivery and therefore represents an attractive tool for genome engineering.;Yuefei Shen ... Michael P. Czech;2018-06-21;731;0.14;missing
"""in vivo gene editing"" OR ""in vivo genome editing""";Identification of functional long non-coding RNAs in C. elegans;https://www.biorxiv.org/content/10.1101/383919v1;Background: Functional characterisation of the compact genome of the model organism Caenorhabditis elegans remains incomplete despite its sequencing twenty years ago.  The last decade of research has seen a tremendous increase in the number of non-coding RNAs identified in various organisms.;Alper Akay ... Wilfried Haerty;2018-08-02;600;0.14;missing
"""in vivo gene editing"" OR ""in vivo genome editing""";CRISPR/Cas9-mediated gene knockin in the hydroid Hydractinia symbiolongicarpus;https://www.biorxiv.org/content/10.1101/342592v1;Background: Hydractinia symbiolongicarpus, a colonial cnidarian, is a tractable model system for many cnidarian-specific and general biological questions.  Until recently, tests of gene function in Hydractinia have relied on laborious forward genetic approaches, randomly integrated transgenes, or transient knockdown of mRNAs.;Steven M. Sanders ... Matthew L Nicotra;2018-06-08;556;0.14;missing
"""in vivo gene editing"" OR ""in vivo genome editing""";Immunostimulatory guide RNAs mediate potent antiviral response;https://www.biorxiv.org/content/10.1101/282558v1;Genome-editing with CRISPR has emerged as a technology with broad therapeutic potential.  However, it is unclear whether CRISPR will elicit innate immune responses, which could impact both positively and negatively on the desired therapeutic effects.;Yujia Cai ... Søren R Paludan;2018-03-15;526;0.14;missing
"""in vivo gene editing"" OR ""in vivo genome editing""";Selective targeting of an oncogenic KRAS mutant allele by CRISPR/Cas9 induces efficient tumor regression;https://www.biorxiv.org/content/10.1101/807578v2;"Background KRAS is one of the most frequently mutated oncogenes in human cancers, but its activating mutations have remained undruggable due to its picomolar affinity for GTP/GDP and its smooth protein structure resulting in the absence of known allosteric regulatory sites. 

Results With the goal of treating mutated KRAS -driven cancers, two CRISPR systems, CRISPR-SpCas9 genome-editing system and transcription-regulating system dCas9-KRAB, were developed to directly deplete KRAS mutant allele or to repress its transcription in cancer cells, respectively, through guide RNA specifically targeting the mutant but not wild-type allele.";Qianqian Gao ... Cheng-chi Chao;2019-10-17;444;0.14;missing
"""in vivo gene editing"" OR ""in vivo genome editing""";Drosophila CLAMP is an essential protein with sex-specific roles in males and females;https://www.biorxiv.org/content/10.1101/042820v1;Dosage compensation is a fundamental mechanism in many species that corrects for the inherent imbalance in X-chromosome copy number between XY males and XX females.  In Drosophila melanogaster, transcriptional output from the single male X-chromosome is equalized to that of XX females by recruitment of the Male Specific Lethal (MSL) complex to specific sequences along the length of the X-chromosome.;Jennifer A. Urban ... Erica N. Larschan;2016-03-08;432;0.14;missing
"""in vivo gene editing"" OR ""in vivo genome editing""";CRISPR-NSID: an in vivo CRISPR/Cas9 negative selection screen reveals EZH2 as a druggable dependency factor in a genetic desmoid tumor model;https://www.biorxiv.org/content/10.1101/595769v1;Identification of true dependencies in cancer is pivotal to the elucidation of novel therapeutic strategies to increase prospects for cancer patients.  Unfortunately, in vivo identification of genetic dependencies has long relied on expensive and time-consuming breeding of genetically engineered animal models.;Thomas Naert ... Kris Vleminckx;2019-04-01;417;0.14;missing
"""in vivo gene editing"" OR ""in vivo genome editing""";In vivo measurements reveal a single 5′ intron is sufficient to increase protein expression level in C. elegans;https://www.biorxiv.org/content/10.1101/499459v1;Introns can increase gene expression levels using a variety of mechanisms collectively referred to as Intron Mediated Enhancement (IME).  To date, the magnitude of IME has been quantified in human cell culture and plant models by comparing intronless reporter gene expression levels to those of intron-bearing reporter genes in vitro (mRNA, Western Blots, protein activity), using genome editing technologies that lacked full control of locus and copy number.;Matthew M. Crane ... Alexander R. Mendenhall;2018-12-17;388;0.14;missing
"""in vivo gene editing"" OR ""in vivo genome editing""";Sort-purification of human CD34+CD90+ cells reduces target cell population and improves lentiviral transduction for gene therapy;https://www.biorxiv.org/content/10.1101/850479v2;Hematopoietic stem cell (HSC) gene therapy has the potential to cure many genetic, malignant and infectious diseases.  We have shown in a nonhuman primate (NHP) HSC gene therapy and transplantation model that the CD34+CD90+ cell fraction was exclusively responsible for multilineage engraftment and hematopoietic reconstitution.;Stefan Radtke ... Hans-Peter Kiem;2019-11-26;297;0.14;missing
"""in vivo gene editing"" OR ""in vivo genome editing""";Mono-homologous linear DNA recombination by the non-homologous end-joining pathway as a novel and simple gene inactivation method: a proof of concept study in Dietzia sp. DQ12-45-1b;https://www.biorxiv.org/content/10.1101/300723v1;Non-homologous end-joining (NHEJ) is critical for genome stability because of its roles in double-strand break repair.  Ku and ligase D (LigD) are the crucial proteins in this process, and strains expressing Ku and LigD can cyclize linear DNA in vivo.;Shelian Lu ... Xiao-Lei Wu;2018-04-13;235;0.14;missing
"""chimeric antigen receptor"" OR ""CAR T"" OR ""CAR-""";Impaired tumor death receptor signaling drives resistance to CAR T cell therapy;https://www.biorxiv.org/content/10.1101/627562v1;Cellular immunotherapy using T cells engineered to express chimeric antigen receptors targeting CD19 (CART19) leads to long-term remission in patients with B-cell malignancies.  Unfortunately, a significant fraction of patients demonstrate primary resistance to CART19 or experience relapse after achieving remission.;Nathan Singh ... Marco Ruella;2019-05-05;1319;0.57;missing
"""chimeric antigen receptor"" OR ""CAR T"" OR ""CAR-""";Functional effects of chimeric antigen receptor co-receptor signaling domains in human Tregs;https://www.biorxiv.org/content/10.1101/749721v1;Antigen-specific regulatory T cells (Tregs) engineered with chimeric antigen receptor (CARs) are a potent immunosuppressive cellular therapy in multiple disease models.  To date the majority of CAR Treg studies employed second generation CARs, encoding a CD28 or 4-1BB co-receptor signaling domain and CD3zeta, but it was not known if this CAR design was optimal for Tregs.;Nicholas A.J. Dawson ... Megan K Levings;2019-08-29;830;0.57;missing
"""chimeric antigen receptor"" OR ""CAR T"" OR ""CAR-""";convertibleCARs: A chimeric antigen receptor system for flexible control of activity and antigen targeting;https://www.biorxiv.org/content/10.1101/696401v2;We have developed a chimeric antigen receptor (CAR) platform that functions as a modular system to address limitations of current CAR therapies.  An inert form of the NKG2D extracellular domain (iNKG2D) was used as the ectodomain of the CAR to generate convertibleCAR-T cells.;Kyle E. Landgraf ... Kaman Chan Kim;2019-07-09;761;0.57;missing
"""chimeric antigen receptor"" OR ""CAR T"" OR ""CAR-""";Overcoming Immunological Resistance Enhances the Efficacy of a Novel anti-tMUC1 CAR T Cell Treatment Against Pancreatic Ductal Adenocarcinoma;https://www.biorxiv.org/content/10.1101/642934v1;Chimeric antigen receptor engineered T cells (CAR T cells) have shown remarkable success in treating hematologic cancers.  However, this efficacy has yet to translate to treatment in solid tumors.;Mahboubeh Yazdanifar ... Pinku Mukherjee;2019-05-20;334;0.57;missing
"""chimeric antigen receptor"" OR ""CAR T"" OR ""CAR-""";Chlorotoxin Redirects Chimeric Antigen Receptor T Cells for Specific and Effective Targeting of Glioblastoma;https://www.biorxiv.org/content/10.1101/2020.01.24.918888v1;While chimeric antigen receptor (CAR) T cells have demonstrated antitumor activity against glioblastoma (GBM), tumor heterogeneity remains a critical challenge.  To more effectively target heterogeneous GBMs, we report the development of a novel peptide-based CAR exploiting the GBM-binding potential of chlorotoxin (CLTX).;Dongrui Wang ... Christine E. Brown;2020-01-25;264;0.57;missing
"""chimeric antigen receptor"" OR ""CAR T"" OR ""CAR-""";Tumor control via targeting PD-L1 with chimeric antigen receptor modified NK cells;https://www.biorxiv.org/content/10.1101/2020.01.30.926535v1;Failed T cell-based immunotherapies in the presence of genomic alterations in antigen presentations pathways may be overcome by NK cell-based immunotherapy.  This approach may still be limited by the presence of immunosuppressive myeloid populations.;Yvette Robbins ... Clint T. Allen;2020-01-30;208;0.57;missing
"""chimeric antigen receptor"" OR ""CAR T"" OR ""CAR-""";Systematically optimized BCMA/CS1 bispecific CAR-T cells robustly control heterogeneous multiple myeloma;https://www.biorxiv.org/content/10.1101/2020.03.12.989491v1;Chimeric antigen receptor (CAR)-T cell therapy has shown remarkable clinical efficacy against B-cell malignancies but also demonstrated marked vulnerability to antigen escape and tumor relapse.  Here, we report the rational design and systematic optimization of bispecific CAR-T cells with robust activity against multiple myeloma (MM), including heterogeneous MM that is resistant to conventional CAR-T cell therapy targeting B-cell maturation antigen (BCMA).;Eugenia Zah ... Yvonne Y. Chen;2020-03-14;154;0.57;missing
"""chimeric antigen receptor"" OR ""CAR T"" OR ""CAR-""";Perfect adaptation of CD8+ T cell responses to constant antigen input over a wide range of affinity is overcome by costimulation;https://www.biorxiv.org/content/10.1101/535385v2;Maintaining and limiting T cell responses to constant antigen stimulation is critical to control pathogens and maintain self-tolerance, respectively.  Antigen recognition by T cell receptors (TCRs) induces signalling that activates T cells to produce cytokines and also leads to the downregulation of surface TCRs.;Nicola Trendel ... Omer Dushek;2019-01-30;719;0.29;missing
"""chimeric antigen receptor"" OR ""CAR T"" OR ""CAR-""";Functionalized microcarriers improve T cell manufacturing by facilitating migratory memory T cell production and increasing CD4/CD8 ratio;https://www.biorxiv.org/content/10.1101/646760v1;Adoptive cell therapies (ACT) using chimeric antigen receptor (CAR) T cells have shown promise in treating cancer, but manufacturing large numbers of high quality cells remains challenging.  Critically, current T cell expansion technologies only partially recapitulate the in vivo microenvironment found in the human lymph nodes.;Nathan J. Dwarshuis ... Krishnendu Roy;2019-05-23;649;0.29;missing
"""chimeric antigen receptor"" OR ""CAR T"" OR ""CAR-""";Identification of human CD4+ T cell populations with distinct antitumor activity;https://www.biorxiv.org/content/10.1101/2019.12.31.891317v1;How naturally arising human CD4+ T helper subsets impact tumor immunity is unknown.  We reported that human CD4+CD26high T cells elicit potent immunity against solid tumor malignancies.;Michelle H. Nelson ... Chrystal Paulos;2020-01-02;458;0.29;missing
"""chimeric antigen receptor"" OR ""CAR T"" OR ""CAR-""";Three-Compartment Model of CAR T-cell Immunotherapy;https://www.biorxiv.org/content/10.1101/779793v1;Immunotherapy has gained great momentum with CAR T (chimeric antigen receptor) cellular therapy, in which the patients T lymphocytes are genetically manipulated to recognize tumor-specific antigens to increase elimination efficiency.  Although recently approved by FDA to treat B cell malignancies, issues such as dose, administration protocol, toxicity, resistance to immunotherapy, among others, remain open and are the subject of intense research nowadays.;Brendon de Jesus Rodrigues ... Regina C. Almeida;2019-09-24;387;0.29;missing
"""chimeric antigen receptor"" OR ""CAR T"" OR ""CAR-""";Self-cutting and integrating CRISPR plasmids (SCIPs) enable targeted genomic integration of large genetic payloads for rapid cell engineering;https://www.biorxiv.org/content/10.1101/2020.03.25.008276v2;Since observations that CRISPR nucleases function in mammalian cells, many strategies have been devised to adapt them for genetic engineering.  Here, we investigated self-cutting and integrating Cas9/CRISPR plasmids (SCIPs) as easy-to-use gene editing tools that insert themselves at CRISPR-guided locations.;Darin Bloemberg ... Scott McComb;2020-03-25;132;0.29;missing
"""chimeric antigen receptor"" OR ""CAR T"" OR ""CAR-""";Feasibility of real-time in vivo 89Zr-DFO-labeled CAR T-cell trafficking using PET imaging;https://www.biorxiv.org/content/10.1101/789727v1;Introduction: Chimeric antigen receptor (CAR) T-cells have been developed recently, producing impressive outcomes in patients with hematologic malignancies.  However, there is no standardized method for cell trafficking and in vivo CAR T-cell monitoring.;Suk Hyun Lee ... Jin-Sook Ryu;2019-10-01;118;0.29;missing
"""chimeric antigen receptor"" OR ""CAR T"" OR ""CAR-""";Post-translational covalent assembly of CAR and synNotch receptors for programmable antigen targeting;https://www.biorxiv.org/content/10.1101/2020.01.17.909895v1;Chimeric antigen receptors (CARs) and synthetic Notch (synNotch) receptors are engineered cell-surface receptors that sense a target antigen and respond by activating T cell receptor signaling or a customized gene program, respectively.  To expand the targeting capabilities of these receptors, we have developed switchable adaptor receptor systems for which receptor specificity can be directed post-translationally via covalent attachment of a co-administered antibody.;Jason Lohmueller ... Olivera J. Finn;2020-01-17;364;0.14;missing
" ""AAV"" AND ""immunogenicity""";Rational design of a compact CRISPR-Cas9 activator for AAV- mediated delivery;https://www.biorxiv.org/content/10.1101/298620v1;Akin to Zinc Finger and Transcription Activator Like Effector based transcriptional modulators, nuclease-null CRISPR-Cas9 provides a groundbreaking programmable DNA binding platform, begetting an arsenal of targetable regulators for transcriptional and epigenetic perturbation, by either directly tethering, or recruiting, transcription enhancing effectors to either component of the Cas9/guide RNA complex.  Application of these programmable regulators is now gaining traction for the modulation of disease-causing genes or activation of therapeutic genes, in vivo.;Suhani Vora ... George Church;2018-04-15;3504;0.71;missing
" ""AAV"" AND ""immunogenicity""";Methods Matter -- Standard Production Platforms For Recombinant AAV Can Produce Chemically And Functionally Distinct Vectors;https://www.biorxiv.org/content/10.1101/640169v2;"Different manufacturing approaches have been used in the production of recombinant adeno-associated virus (rAAV).  We sought to characterize differences in rAAV vectors when produced by the two leading manufacturing platforms; live baculovirus infection of Sf9 insect cells and transiently-transfected human HEK293 cells.";Neil G. Rumachik ... Nicole K. Paulk;2019-05-17;4125;0.57;missing
" ""AAV"" AND ""immunogenicity""";Two-Step Small Scale Purification of Recombinant Adeno-Associated Viruses;https://www.biorxiv.org/content/10.1101/715029v1;Recombinant adeno-associated viruses (AAVs) are robust and versatile tools for in vivo gene delivery.  Natural and designer capsid variations in AAVs allow for targeted gene delivery to specific cell types.;Shih-Heng Chen ... Negin P. Martin;2019-07-25;435;0.43;missing
aging;Quantitative translation of dog-to-human aging by conserved remodeling of epigenetic networks;https://www.biorxiv.org/content/10.1101/829192v2;Mammals progress through similar physiological stages during life, from early development to puberty, aging, and death.  Yet, the extent to which this conserved physiology reflects conserved molecular events is unclear.;Tina Wang ... Trey Ideker;2019-11-04;19302;1.0;missing
aging;Human microbiome aging clocks based on deep learning and tandem of permutation feature importance and accumulated local effects;https://www.biorxiv.org/content/10.1101/507780v1;The human gut microbiome is a complex ecosystem that both affects and is affected by its host status.  Previous analyses of gut microflora revealed associations between specific microbes and host health and disease status, genotype and diet.;Fedor Galkin ... Alex Zhavoronkov;2018-12-28;9533;1.0;missing
aging;A Single Cell Transcriptomic Atlas Characterizes Aging Tissues in the Mouse;https://www.biorxiv.org/content/10.1101/661728v3;Aging is characterized by a progressive loss of physiological integrity, leading to impaired function and increased vulnerability to death.  Despite rapid advances over recent years, many of the molecular and cellular processes which underlie progressive loss of healthy physiology are poorly understood.;The Tabula Muris Consortium ... Stephen R. Quake;2019-06-08;6214;1.0;missing
aging;Lipid droplet accumulating microglia represent a dysfunctional and pro-inflammatory state in the aging brain;https://www.biorxiv.org/content/10.1101/722827v1;Microglia become progressively activated and seemingly dysfunctional with age, and genetic studies have linked these cells to the pathogenesis of a growing number of neurodegenerative diseases.  Here we report a striking buildup of lipid droplets in microglia with aging in mouse and human brains.;Julia Marschallinger ... Tony Wyss-Coray;2019-08-06;3914;1.0;missing
aging;Single-cell transcriptomics of the aged mouse brain reveals convergent, divergent and unique aging signatures;https://www.biorxiv.org/content/10.1101/440032v1;The mammalian brain is complex, with multiple cell types performing a variety of diverse functions, but exactly how the brain is affected with aging remains largely unknown.  Here we performed a single-cell transcriptomic analysis of young and old mouse brains.;Methodios Ximerakis ... Lee L. Rubin;2018-10-11;3583;1.0;missing
aging;An epigenetic biomarker of aging for lifespan and healthspan;https://www.biorxiv.org/content/10.1101/276162v1;Identifying reliable biomarkers of aging is a major goal in geroscience.  While the first generation of epigenetic biomarkers of aging were developed using chronological age as a surrogate for biological age, we hypothesized that incorporation of composite clinical measures of phenotypic age that capture differences in lifespan and healthspan may identify novel CpGs and facilitate the development of a more powerful epigenetic biomarker of aging.;Morgan E Levine ... Steve Horvath;2018-03-05;2630;1.0;missing
aging;The murine transcriptome reveals global aging nodes with organ-specific phase and amplitude;https://www.biorxiv.org/content/10.1101/662254v1;Aging is the single greatest cause of disease and death worldwide, and so understanding the associated processes could vastly improve quality of life.  While the field has identified major categories of aging damage such as altered intercellular communication, loss of proteostasis, and eroded mitochondrial function, these deleterious processes interact with extraordinary complexity within and between organs.;Nicholas Schaum ... Tony Wyss-Coray;2019-06-07;2576;1.0;missing
aging;Alzheimer's patient brain myeloid cells exhibit enhanced aging and unique transcriptional activation;https://www.biorxiv.org/content/10.1101/610345v1;Gene expression changes in brain microglia from mouse models of Alzheimer's disease (AD) are highly characterized and reflect specific myeloid cell activation states that could modulate AD risk or progression.  While some groups have produced valuable expression profiles for human brain cells, the cellular clarity with which we now view transcriptional responses in mouse AD models has not yet been realized for human AD tissues due to limited availability of fresh tissue samples and technological hurdles of recovering transcriptomic data with cell-type resolution from frozen samples.;Karpagam Srinivasan ... David Hansen;2019-04-19;2494;1.0;missing
aging;An atlas of the aging lung mapped by single cell transcriptomics and deep tissue proteomics;https://www.biorxiv.org/content/10.1101/351353v1;Aging promotes lung function decline and susceptibility to chronic lung diseases, which are the third leading cause of death worldwide.  We used single cell transcriptomics and mass spectrometry to quantify changes in cellular activity states of 30 cell types and the tissue proteome from lungs of young and old mice.;Ilias Angelidis ... Herbert B Schiller;2018-06-20;2460;1.0;missing
aging;Effects of Prenatal Stress on Structural Brain Development and Aging in Humans;https://www.biorxiv.org/content/10.1101/148916v1;Healthy brain aging is a major determinant of quality of life, allowing integration into society at all ages.  Human epidemiological and animal studies indicate that in addition to lifestyle and genetic factors, environmental influences in prenatal life have a major impact on brain aging and age-associated brain disorders.;Katja Franke ... Matthias Schwab;2017-06-12;2384;1.0;missing
aging;DNA Break-Induced Epigenetic Drift as a Cause of Mammalian Aging;https://www.biorxiv.org/content/10.1101/808659v1;There are numerous hallmarks of aging in mammals, but no unifying cause has been identified.  In budding yeast, aging is associated with a loss of epigenetic information that occurs in response to genome instability, particularly DNA double-strand breaks (DSBs).;Motoshi Hayano ... David A. Sinclair;2019-10-21;2381;1.0;missing
aging;Late life metformin treatment limits cell survival and shortens lifespan by triggering an aging-associated failure of energy metabolism.;https://www.biorxiv.org/content/10.1101/863357v1;The diabetes drug metformin is to be clinically tested in aged humans to achieve health span extension, but little is known about responses of old non-diabetic individuals to this drug.  By in vitro and in vivo tests we found that metformin shortens life span and limits cell survival when provided in late life, contrary to its positive early life effects.;Lilia Espada ... Maria A. Ermolaeva;2019-12-03;2365;1.0;missing
aging;Transient non-integrative nuclear reprogramming promotes multifaceted reversal of aging in human cells;https://www.biorxiv.org/content/10.1101/573386v1;Aging is characterized by a gradual loss of function occurring at the molecular, cellular, tissue and organismal levels.  At the chromatin level, aging is associated with the progressive accumulation of epigenetic errors that eventually lead to aberrant gene regulation, stem cell exhaustion, senescence, and deregulated cell/tissue homeostasis.;Tapash Jay Sarkar ... Vittorio Sebastiano;2019-03-18;2312;1.0;missing
aging;Erosion of the Epigenetic Landscape and Loss of Cellular Identity as a Cause of Aging in Mammals;https://www.biorxiv.org/content/10.1101/808642v1;All living things experience entropy, manifested as a loss of inherited genetic and epigenetic information over time.  As budding yeast cells age, epigenetic changes result in a loss of cell identity and sterility, both hallmarks of yeast aging.;Jae-Hyun Yang ... David A. Sinclair;2019-10-19;2307;1.0;missing
aging;A single cell-based atlas of human microglial states reveals associations with neurological disorders and histopathological features of the aging brain;https://www.biorxiv.org/content/10.1101/343780v1;Recent studies of bulk microglia have provided insights into the role of this immune cell type in central nervous system development, homeostasis and dysfunction.  Nonetheless, our understanding of the diversity of human microglial cell states remains limited.;Marta Olah ... Philip L. De Jager;2018-06-11;3538;0.71;missing
aging;Regulation of Life Span by the Gut Microbiota in The Short-Lived African Turquoise Killifish;https://www.biorxiv.org/content/10.1101/120980v2;Gut bacteria occupy the interface between the organism and the external environment, contributing to homeostasis and disease.  Yet, the causal role of the gut microbiota during host aging is largely unexplored.;Patrick Smith ... Dario Riccardo Valenzano;2017-03-27;14966;0.43;missing
aging;Genome-wide association studies of brain structure and function in the UK Biobank;https://www.biorxiv.org/content/10.1101/178806v3;The genetic basis of brain structure and function is largely unknown.  We carried out genome-wide association studies of 3,144 distinct functional and structural brain imaging derived phenotypes in UK Biobank (discovery dataset 8,428 subjects).;Lloyd T. Elliott ... Stephen M. Smith;2017-08-21;6056;0.43;missing
aging;Doubling healthy lifespan using drug synergies;https://www.biorxiv.org/content/10.1101/153205v3;Pharmacological interventions that target human ageing would extend individual healthspan and result in dramatic economic benefits to rapidly ageing societies worldwide.  For such interventions to be contemplated they need to comprise drugs that are efficacious when given to adults and for which extensive human safety data are available.;Tesfahun Dessale ... Jan Gruber;2017-06-21;4132;0.43;missing
aging;Hair regeneration by small molecules that activate autophagy;https://www.biorxiv.org/content/10.1101/303495v1;Hair plays important roles, ranging from the conservation of body heat to the preservation of psychological well-being.  Hair loss or alopecia affects millions worldwide and can occur because of aging, hormonal dysfunction, autoimmunity, or as a side effect of cancer treatment (Gilhar et al.;Min Chai ... Jing Huang;2018-04-18;3744;0.43;missing
aging;Undulating changes in human plasma proteome across lifespan are linked to disease;https://www.biorxiv.org/content/10.1101/751115v1;Aging is the predominant risk factor for numerous chronic diseases that limit healthspan.  Mechanisms of aging are thus increasingly recognized as therapeutic targets.;Benoit Lehallier ... Tony Wyss-Coray;2019-09-01;3524;0.43;missing
aging;Identifying genetic variants that affect viability in large cohorts;https://www.biorxiv.org/content/10.1101/085969v4;A number of open questions in human evolutionary genetics would become tractable if we were able to directly measure evolutionary fitness.  As a step towards this goal, we developed a method to examine whether individual genetic variants, or sets of genetic variants, currently influence viability.;Hakhamanesh Mostafavi ... Joseph K. Pickrell;2016-11-07;2568;0.43;missing
aging;Social reprogramming in ants induces longevity-associated glia remodeling;https://www.biorxiv.org/content/10.1101/2019.12.19.883181v1;"Healthy brain aging is of crucial societal importance; however, the mechanisms that regulate it are largely unknown.  Social insects are an outstanding model to study the impact of environment and epigenetics on brain function and aging because workers and queens arise from the same genome but display profound differences in behavior and longevity.";Lihong Sheng ... Roberto Bonasio;2019-12-20;2501;0.43;missing
aging;Genetics of brain age suggest an overlap with common brain disorders;https://www.biorxiv.org/content/10.1101/303164v1;Numerous genetic and environmental factors contribute to psychiatric disorders and other brain disorders.  Common risk factors likely converge on biological pathways regulating the optimization of brain structure and function across the lifespan.;Tobias Kaufmann ... for the AddNeuroMed consortium;2018-04-17;2418;0.43;missing
